[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] INFO: Decoder - forney algorithm.
Decoding block number 24
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] ERROR: Decode: Decode failed!
[2024-09-15 13:53:30] ERROR: File Decoder::process_complete_block(): Error during decoding of block 24
Decoding block number 25
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] INFO: Decoder - forney algorithm.
Decoding block number 26
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] ERROR: Decode: Decode failed!
[2024-09-15 13:53:30] ERROR: File Decoder::process_complete_block(): Error during decoding of block 26
Decoding block number 27
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
[2024-09-15 13:53:30] INFO: Decoder - compute discrepancy n times.
[2024-09-15 13:53:30] INFO: Decoder - cheain sreach
[2024-09-15 13:53:30] INFO: Decoder - forney algorithm.
Decoding block number 28
[2024-09-15 13:53:30] INFO: Decoder: decoding...
[2024-09-15 13:53:30] INFO: Decoder - load message.
[2024-09-15 13:53:30] INFO: Decoder - berlekamp massey algo'.
